Name,Address,City,State,Zip,Lat,Long,IsSchool,Breakfast,Lunch,Supper,PMSnack
Chicago Chesed Fund - meor hatorah,3635 W Devon Ave, Chicago, IL,60659,41.996967,-87.72065,0,1,1,0,0
Salvation Army/Headstart - Salvation Army Ray and Joan Kroc Center,1250 W 119th St, Chicago, IL,60643,41.678593,-87.652783,0,0,1,0,1
University of Illinois - Student Center East Cafeteria,750 S Halsted St, Chicago, IL,60607,41.871912,-87.647948,0,1,1,1,0
Archdiocese of Chicago-Nw Hwy - Augustus Tolton Catholic Academy,7120 S Calumet Ave, Chicago, IL,60619,41.764687,-87.61733,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Visitation Catholic School,900 W Garfield Blvd, Chicago, IL,60609,41.794527,-87.647993,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - St Cornelius,5252 N Long Ave, Chicago, IL,60630,41.975992,-87.763745,1,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Pope John Paul II Catholic School,4325 S Richmond St, Chicago, IL,60632,41.814934,-87.697746,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - St Angela School,1332 N Massasoit Ave, Chicago, IL,60651,41.904355,-87.770019,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - St Agnes of Bohemia,2643 S Central Park Ave, Chicago, IL,60623,41.843143,-87.714441,1,1,1,0,0
Archdiocese of Chicago-Nw Hwy - St John Berchmans School,2511 W Logan Blvd, Chicago, IL,60647,41.927887,-87.690725,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - St Malachy School,2252 W Washington Blvd, Chicago, IL,60612,41.883297,-87.683726,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - St Stanislaus Kostka School,1255 N Noble St, Chicago, IL,60642,41.905182,-87.662101,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - St Sylvester School,3027 W Palmer Blvd, Chicago, IL,60647,41.920316,-87.703215,0,0,1,0,1
